ID,VIDEO,LABEL
1,D0041.mp4,giỗ
2,D0032.mp4,ai cho
3,D0093.mp4,đạo diễn
4,D0095.mp4,cắm trại
5,D0098.mp4,có … không?
6,D0119B.mp4,đúng không?
7,D0119N.mp4,đúng không?
8,D0119T.mp4,đúng không?
9,D0121.mp4,còn bạn?
10,D0127.mp4,căm thù
11,D0146.mp4,một là
12,D0147.mp4,hai là
13,D0148.mp4,ba là
14,D0149.mp4,bốn là
15,D0150.mp4,năm là
16,D0189B.mp4,muốn không?
17,D0189N.mp4,muốn không?
18,D0189T.mp4,muốn không?
19,D0195B.mp4,đẹp không?
20,D0195N.mp4,đẹp không?
21,D0195T.mp4,đẹp không?
22,D0226.mp4,đàng hoàng
23,D0239.mp4,cái gùi
24,D0241.mp4,bất khuất
25,D0257.mp4,ăn vụng
26,D0254.mp4,cảnh giác
27,D0276.mp4,cắt lông mũi
27,D0267B.mp4,đen đủi
29,D0286.mp4,cách ly
30,D0298.mp4,lớn hơn 2 (Toán học)
31,D0297.mp4,lớn hơn 1 (Toán học)
32,D0324.mp4,đùm bọc
33,D0338.mp4,ăn bám
34,D0370.mp4,mệt không?
35,D0356.mp4,đau bụng
36,D0371.mp4,đói không?
37,D0431.mp4,lốc xoáy
37,D0435.mp4,cây nến
39,D0436.mp4,dịu dàng
40,D0466.mp4,cạnh tranh
41,D0447.mp4,cái vợt cá
42,D0468.mp4,cái neo
42,D0490B.mp4,ă
44,D0489.mp4,a
45,D0490T.mp4,ă
46,D0490N.mp4,ă
46,D0491B.mp4,â
48,D0491N.mp4,â
49,D0492.mp4,b
49,D0491T.mp4,â
51,D0493.mp4,c
52,D0494.mp4,d
53,D0495.mp4,đ
54,D0497B.mp4,ê
54,D0496.mp4,e
56,D0497N.mp4,ê
57,D0498B.mp4,g
58,D0497T.mp4,ê
59,D0498N.mp4,g
60,D0500N.mp4,h
61,D0500B.mp4,h
62,D0501.mp4,i
62,D0500T.mp4,h
64,D0502.mp4,k
65,D0503.mp4,l
66,D0504.mp4,m
67,D0505.mp4,n
68,D0506.mp4,o
69,D0507B.mp4,ô
70,D0507N.mp4,ô
71,D0507T.mp4,ô
72,D0508N.mp4,ơ
73,D0509B.mp4,p
74,D0509N.mp4,p
75,D0509T.mp4,p
76,D0510.mp4,q
77,D0511.mp4,r
78,D0512.mp4,s
79,D0513B.mp4,t
80,D0513N.mp4,t
81,D0513T.mp4,t
82,D0514.mp4,u
83,D0515N.mp4,ư
84,D0516.mp4,v
